repository_name,date,clones,unique
data-service-landscape-scan,2021-07-02,1,1
data-service-landscape-scan,2021-07-03,2,2
data-service-landscape-scan,2021-07-06,2,2
data-service-landscape-scan,2021-07-08,1,1
data-service-landscape-scan,2021-07-12,1,1
data-service-landscape-scan,2021-07-13,1,1
data-service-landscape-scan,2021-07-19,1,1
data-service-landscape-scan,2021-07-20,1,1
data-service-landscape-scan,2021-07-30,3,3
data-service-landscape-scan,2021-08-04,2,2
data-service-landscape-scan,2021-08-12,1,1
data-service-landscape-scan,2021-08-14,1,1
data-service-landscape-scan,2021-08-15,1,1
data-service-landscape-scan,2021-08-16,4,4
data-service-landscape-scan,2021-08-20,2,2
data-service-landscape-scan,2021-08-21,1,1
data-service-landscape-scan,2021-08-27,1,1
data-service-landscape-scan,2021-08-28,1,1
data-service-landscape-scan,2021-09-02,3,3
data-service-landscape-scan,2021-09-03,3,3
data-service-landscape-scan,2021-09-05,1,1
data-service-landscape-scan,2021-09-06,1,1
data-service-landscape-scan,2021-09-07,1,1
data-service-landscape-scan,2021-09-15,1,1
data-service-landscape-scan,2021-09-17,1,1
data-service-landscape-scan,2021-09-29,1,1
data-service-landscape-scan,2021-09-30,1,1
data-service-landscape-scan,2021-10-01,1,1
data-service-landscape-scan,2021-10-05,1,1
data-service-landscape-scan,2021-10-06,1,1
data-service-landscape-scan,2021-10-08,1,1
data-service-landscape-scan,2021-10-09,1,1
data-service-landscape-scan,2021-10-14,1,1
data-service-landscape-scan,2021-10-15,1,1
data-service-landscape-scan,2021-10-21,5,1
data-service-landscape-scan,2021-10-28,2,1
data-service-landscape-scan,2021-11-13,1,1
data-service-landscape-scan,2021-11-23,1,1
data-service-landscape-scan,2022-01-07,1,1
data-service-landscape-scan,2022-01-18,2,1
data-service-landscape-scan,2022-01-25,2,1
data-service-landscape-scan,2022-01-26,1,1
data-service-landscape-scan,2022-03-04,1,1
data-service-landscape-scan,2022-03-23,2,1
data-service-landscape-scan,2022-04-22,2,1
data-service-landscape-scan,2022-04-26,1,1
data-service-landscape-scan,2022-05-12,1,1
data-service-landscape-scan,2022-06-17,1,1
data-service-landscape-scan,2022-08-03,1,1
data-service-landscape-scan,2022-08-05,1,1
data-service-landscape-scan,2022-08-08,1,1
data-service-landscape-scan,2022-08-09,6,5
data-service-landscape-scan,2022-08-10,4,3
data-service-landscape-scan,2022-08-16,4,3
data-service-landscape-scan,2022-08-18,1,1
data-service-landscape-scan,2022-08-20,1,1
data-service-landscape-scan,2022-08-25,4,3
data-service-landscape-scan,2022-08-26,1,1
data-service-landscape-scan,2022-09-04,1,1
data-service-landscape-scan,2022-09-07,1,1
data-service-landscape-scan,2022-10-08,2,1
data-service-landscape-scan,2022-10-21,1,1
data-service-landscape-scan,2022-10-22,1,1
data-service-landscape-scan,2022-10-27,3,2
data-viz-challenge,2021-03-02,1,1
data-viz-challenge,2021-03-13,1,1
data-viz-challenge,2021-03-20,1,1
data-viz-challenge,2021-03-29,1,1
data-viz-challenge,2021-04-12,2,2
data-viz-challenge,2021-04-18,1,1
data-viz-challenge,2021-04-20,1,1
data-viz-challenge,2021-05-13,1,1
data-viz-challenge,2021-05-25,1,1
data-viz-challenge,2021-06-03,2,2
data-viz-challenge,2021-06-28,5,5
data-viz-challenge,2021-06-29,4,4
data-viz-challenge,2021-07-01,3,3
data-viz-challenge,2021-07-07,1,1
data-viz-challenge,2021-07-13,1,1
data-viz-challenge,2021-09-19,1,1
data-viz-challenge,2021-10-21,5,1
data-viz-challenge,2021-11-02,1,1
data-viz-challenge,2021-11-06,1,1
data-viz-challenge,2021-12-28,1,1
data-viz-challenge,2022-01-02,2,1
data-viz-challenge,2022-01-19,2,1
data-viz-challenge,2022-01-25,1,1
data-viz-challenge,2022-03-04,1,1
data-viz-challenge,2022-03-22,2,1
data-viz-challenge,2022-04-08,1,1
data-viz-challenge,2022-04-27,1,1
data-viz-challenge,2022-06-20,1,1
data-viz-challenge,2022-08-05,1,1
data-viz-challenge,2022-08-12,1,1
data-viz-challenge,2022-08-25,1,1
data-viz-challenge,2022-09-17,1,1
data-viz-challenge,2022-10-16,1,1
data-viz-challenge,2022-10-21,2,2
data-viz-challenge,2022-11-11,2,1
data-viz-challenge,2022-11-17,1,1
data-viz-evaluations,2021-04-07,3,2
data-viz-evaluations,2021-04-08,3,3
data-viz-evaluations,2021-04-11,1,1
data-viz-evaluations,2021-04-17,1,1
data-viz-evaluations,2021-04-23,1,1
data-viz-evaluations,2021-05-26,2,2
data-viz-evaluations,2021-07-06,3,3
data-viz-evaluations,2021-07-08,1,1
data-viz-evaluations,2021-07-12,1,1
data-viz-evaluations,2021-07-18,2,1
data-viz-evaluations,2021-07-20,1,1
data-viz-evaluations,2021-08-13,1,1
data-viz-evaluations,2021-08-15,1,1
data-viz-evaluations,2021-09-05,1,1
data-viz-evaluations,2021-09-08,1,1
data-viz-evaluations,2021-10-15,1,1
data-viz-evaluations,2021-10-21,8,2
data-viz-evaluations,2021-11-12,1,1
data-viz-evaluations,2022-01-12,2,1
data-viz-evaluations,2022-01-18,2,1
data-viz-evaluations,2022-01-25,2,1
data-viz-evaluations,2022-02-04,1,1
data-viz-evaluations,2022-03-04,1,1
data-viz-evaluations,2022-04-05,4,3
data-viz-evaluations,2022-04-08,1,1
data-viz-evaluations,2022-04-25,2,1
data-viz-evaluations,2022-04-27,2,1
data-viz-evaluations,2022-04-28,3,2
data-viz-evaluations,2022-05-02,1,1
data-viz-evaluations,2022-05-12,1,1
data-viz-evaluations,2022-05-27,2,1
data-viz-evaluations,2022-06-22,1,1
data-viz-evaluations,2022-07-25,1,1
data-viz-evaluations,2022-08-02,1,1
data-viz-evaluations,2022-08-04,1,1
data-viz-evaluations,2022-08-09,1,1
data-viz-evaluations,2022-08-15,1,1
data-viz-evaluations,2022-10-22,1,1
data-viz-evaluations,2022-10-25,1,1
data-viz-evaluations,2022-11-01,1,1
data-viz-evaluations,2022-11-15,1,1
figstats,2021-03-03,2,2
figstats,2021-03-09,3,2
